Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
TECNO,Spark 9T,LCD,MR PANTALLA,90,240
TECNO,Pop 7,LCD,MR PANTALLA,90,240
TECNO,Spark 6 2023,LCD,MR PANTALLA,90,240
TECNO,Smart 7,LCD,MR PANTALLA,90,240
TECNO,Spark 6 2024 CDOT,LCD,MR PANTALLA,90,240
TECNO,Spark 6 2024 DIN,LCD,MR PANTALLA,100,250
TECNO,Smart 8,LCD,MR PANTALLA,90,240
TECNO,Spark 10,LCD,MR PANTALLA,90,240
TECNO,Spark 10c,LCD,MR PANTALLA,90,240
TECNO,Spark 20,LCD,MR PANTALLA,90,240
TECNO,Spark 20C,LCD,MR PANTALLA,90,240
TECNO,Spark 30C,LCD,MR PANTALLA,100,250
TECNO,Spark 30,LCD,MR PANTALLA,100,250
TECNO,Spark GO 2025,LCD,MR PANTALLA,100,250
TECNO,Smart 9,LCD,MR PANTALLA,95,250
TECNO,Spark Go 1,LCD,MR PANTALLA,95,250
TECNO,Spark Go 2,LCD,MR PANTALLA,100,250
TECNO,Spark Go 3,LCD,MR PANTALLA,110,260
TECNO,Smart 10,LCD,MR PANTALLA,100,250
TECNO,Smart 10 Plus,LCD,MR PANTALLA,100,250
TECNO,Spark 10 Pro,LCD,MR PANTALLA,105,260
TECNO,Spark 20 Pro,LCD,MR PANTALLA,105,260
TECNO,Spark 30 Pro,INCELL,MR PANTALLA,115,270
TECNO,Hot 50 Pro,INCELL,MR PANTALLA,115,270
TECNO,Hot 30,LCD,MR PANTALLA,105,260
TECNO,Hot 30i,LCD,MR PANTALLA,90,240
TECNO,Hot 40i,LCD,MR PANTALLA,90,240
TECNO,Hot 40 Pro,LCD,MR PANTALLA,105,260
TECNO,Hot 50i TXD,LCD,MR PANTALLA,95,250
TECNO,Hot 50i DPT,LCD,MR PANTALLA,95,250
TECNO,Hot 50 Pro Plus,OLED,MR PANTALLA,490,700
TECNO,Spark 20 Pro Plus,OLED,MR PANTALLA,490,700
TECNO,Camon 30s Pro,OLED,MR PANTALLA,490,700
TECNO,Note 40 Pro Plus,OLED,MR PANTALLA,490,700
TECNO,Hot 60 Pro,OLED,MR PANTALLA,570,780
TECNO,Note 30,LCD,MR PANTALLA,105,2560
TECNO,Note 30 Pro,INCELL,MR PANTALLA,115,270
TECNO,Pova 2,LCD,MR PANTALLA,110,260
TECNO,Pova 3,LCD,MR PANTALLA,110,260
TECNO,Pova 4,LCD,MR PANTALLA,100,250
TECNO,Hot 20 Play,LCD,MR PANTALLA,100,250
TECNO,Hot 12 Play,LCD,MR PANTALLA,100,250
TECNO,Pova 5,LCD,MR PANTALLA,105,255
TECNO,Pova 5 Pro,LCD,MR PANTALLA,105,255
TECNO,Pova 7 4G,LCD,MR PANTALLA,105,255
TECNO,Camon 17,LCD,MR PANTALLA,100,250
